1645	Moonberry Juice
13000	Staff of Hale Magefire
13001	Maiden's Circle
13002	Lady Alizabeth's Pendant
13003	Lord Alexander's Battle Axe
13004	Torch of Austen
13006	Mass of McGowan
13007	Mageflame Cloak
13008	Dalewind Trousers
13009	Cow King's Hide
13013	Elder Wizard's Mantle
13015	Serathil
13018	Executioner's Cleaver
13021	Needle Threader
13023	Eaglehorn Long Bow
13028	Bludstone Hammer
13029	Umbral Crystal
13030	Basilisk Bone
13036	Assassination Blade
13040	Heartseeking Crossbow
13044	Demonslayer
13047	Twig of the World Tree
13053	Doombringer
13056	Frenzied Striker
13059	Stoneraven
13060	The Needler
13066	Wyrmslayer Spaulders
13067	Hydralick Armor
13070	Sapphiron's Scale Boots
13072	Stonegrip Gauntlets
13073	Mugthol's Helm
13075	Direwing Legguards
13077	Girdle of Uther
13079	Shield of Thorsen
13083	Garrett Family Crest
13085	Horizon Choker
13091	Medallion of Grand Marshal Morris
13096	Band of the Hierophant
13098	Painweaver Band
13101	Wolfrunner Shoes
13107	Magiskull Cuffs
13111	Sandals of the Insurgent
13113	Feathermoon Headdress
13114	Troll's Bane Leggings
13116	Spaulders of the Unseen
13118	Serpentine Sash
13120	Deepfury Bracers
13122	Dark Phantom Cape
13123	Dreamwalker Armor
13125	Elven Chain Boots
13126	Battlecaller Gauntlets
13130	Windrunner Legguards
13133	Drakesfire Epaulets
13134	Belt of the Gladiator
13135	Lordly Armguards
13137	Ironweaver
13139	Guttbuster
13141	Tooth of Gnarr
13142	Brigam Girdle
13143	Mark of the Dragon Lord
13144	Serenity Belt
13146	Shell Launcher Shotgun
13148	Chillpike
13159	Bone Dust
13161	Trindlehaven Staff
13162	Reiver Claws
13163	Relentless Scythe
13164	Heart of the Scale
13166	Slamshot Shoulders
13167	Fist of Omokk
13168	Plate of the Shaman King
13169	Tressermane Leggings
13170	Skyshroud Leggings
13173	Flightblade Throwing Axe
13177	Talisman of Evasion
13178	Rosewine Circle
13179	Brazecore Armguards
13181	Demonskin Gloves
13182	Phase Blade
13183	Venomspitter
13184	Fallbrush Handgrips
13185	Sunderseer Mantle
13198	Hurd Smasher
13203	Armswake Cloak
13204	Bashguuder
13205	Rhombeard Protector
13206	Wolfshear Leggings
13208	Bleak Howler Armguards
13210	Pads of the Dread Wolf
13211	Slashclaw Bracers
13212	Halycon's Spiked Collar
13218	Fang of the Crystal Spider
13244	Gilded Gauntlets
13247	Quartermaster Zigris' Footlocker
13252	Cloudrunner Girdle
13253	Hands of Power
13255	Trueaim Gauntlets
13257	Demonic Runed Spaulders
13258	Slaghide Gauntlets of Spirit
13259	Ribsteel Footguards
13261	Globe of D'sak
13282	Ogreseer Tower Boots
13283	Magus Ring
13284	Swiftdart Battleboots
13285	The Blackrock Slicer
13286	Rivenspike
13302	Market Row Postbox Key
13303	Crusaders' Square Postbox Key
13304	Festival Lane Postbox Key
13305	Elders' Square Postbox Key
13306	King's Square Postbox Key
13307	Ezra Grimm's Postbox Key
13314	Alanna's Embrace
13335	Deathcharger's Reins
13340	Cape of the Black Baron
13344	Dracorian Gauntlets
13345	Seal of Rivendare
13346	Robes of the Exalted
13348	Demonshear
13349	Scepter of the Unholy
13353	Book of the Dead
13358	Wyrmtongue Shoulders
13359	Crown of Tyranny
13360	Gift of the Elven Magi
13361	Skullforge Reaver
13362	Letter from the Front
13363	Municipal Proclamation
13364	Ezra Grimm's Advertisement
13368	Bonescraper
13369	Fire Striders
13370	Vitreous Focuser
13371	Father Flame
13372	Slavedriver's Cane
13373	Band of Flesh
13374	Soulstealer Mantle
13375	Crest of Retribution
13376	Royal Tribunal Cloak
13377	Miniature Cannon Balls
13378	Songbird Blouse
13379	Piccolo of the Flaming Fire
13380	Willey's Portable Howitzer
13381	Master Cannoneer Boots
13382	Cannonball Runner
13383	Woollies of the Prancing Minstrel
13384	Rainbow Girdle
13385	Tome of Knowledge
13386	Archivist Cape of Frozen Wrath
13387	Foresight Girdle of the Owl
13389	The Postmaster's Trousers
13390	The Postmaster's Band
13391	The Postmaster's Treads
13392	The Postmaster's Seal
13394	Skul's Cold Embrace
13395	Skul's Fingerbone Claws
