severity	rule	entity	id	expansion	field	message	note
warning	effect-type-differs	item	203992	sod	effect#0	Flavor in the original, Use in the translation	carried over from the ignore list in __validate_item
warning	effect-type-differs	item	206384	sod	effect#0	Flavor in the original, Use in the translation	carried over from the ignore list in __validate_item
warning	effect-type-differs	item	216738	sod	effect#0	Flavor in the original, Use in the translation	carried over from the ignore list in __validate_item
warning	effect-type-differs	item	216740	sod	effect#0	Flavor in the original, Use in the translation	carried over from the ignore list in __validate_item
warning	effect-type-differs	item	216744	sod	effect#0	Flavor in the original, Use in the translation	carried over from the ignore list in __validate_item
warning	effect-type-differs	item	216745	sod	effect#0	Flavor in the original, Use in the translation	carried over from the ignore list in __validate_item
warning	effect-type-differs	item	216746	sod	effect#0	Flavor in the original, Use in the translation	carried over from the ignore list in __validate_item
warning	effect-type-differs	item	216747	sod	effect#0	Flavor in the original, Use in the translation	carried over from the ignore list in __validate_item
warning	effect-type-differs	item	216748	sod	effect#0	Flavor in the original, Use in the translation	carried over from the ignore list in __validate_item
warning	effect-type-differs	item	216764	sod	effect#0	Flavor in the original, Use in the translation	carried over from the ignore list in __validate_item
warning	effect-type-differs	item	216767	sod	effect#0	Flavor in the original, Use in the translation	carried over from the ignore list in __validate_item
warning	effect-type-differs	item	216768	sod	effect#0	Flavor in the original, Use in the translation	carried over from the ignore list in __validate_item
warning	effect-type-differs	item	216769	sod	effect#0	Flavor in the original, Use in the translation	carried over from the ignore list in __validate_item
warning	effect-type-differs	item	216770	sod	effect#0	Flavor in the original, Use in the translation	carried over from the ignore list in __validate_item
warning	effect-type-differs	item	216771	sod	effect#0	Flavor in the original, Use in the translation	carried over from the ignore list in __validate_item
warning	effect-type-differs	item	221978	sod	effect#0	Flavor in the original, Use in the translation	carried over from the ignore list in __validate_item
warning	effect-type-differs	item	223163	sod	effect#0	Flavor in the original, Use in the translation	carried over from the ignore list in __validate_item
warning	numbers-mismatch	item	203784	sod	effect#0	the numbers differ from the English text	carried over from the ignore list in __validate_item
warning	numbers-mismatch	item	203785	sod	effect#0	the numbers differ from the English text	carried over from the ignore list in __validate_item
warning	numbers-mismatch	item	203786	sod	effect#0	the numbers differ from the English text	carried over from the ignore list in __validate_item
warning	numbers-mismatch	item	203787	sod	effect#0	the numbers differ from the English text	carried over from the ignore list in __validate_item
warning	numbers-mismatch	item	204688	sod	effect#0	the numbers differ from the English text	carried over from the ignore list in __validate_item
warning	numbers-mismatch	item	204689	sod	effect#0	the numbers differ from the English text	carried over from the ignore list in __validate_item
warning	numbers-mismatch	item	204690	sod	effect#0	the numbers differ from the English text	carried over from the ignore list in __validate_item
warning	numbers-mismatch	item	207106	sod	effect#0	the numbers differ from the English text	carried over from the ignore list in __validate_item
warning	numbers-mismatch	item	207107	sod	effect#0	the numbers differ from the English text	carried over from the ignore list in __validate_item
warning	numbers-mismatch	item	207108	sod	effect#0	the numbers differ from the English text	carried over from the ignore list in __validate_item
