severity	rule	entity	id	expansion	field	message	note
warning	newline-count	spell	66	wrath	description_ua	blank line count differs from the English	verified before the migration, 2026-09-17
warning	newline-count	spell	339	cata	description_ua	blank line count differs from the English	verified before the migration, 2026-09-17
warning	newline-count	spell	688	cata	description_ua	blank line count differs from the English	verified before the migration, 2026-09-17
warning	newline-count	spell	688	mists	description_ua	blank line count differs from the English	verified before the migration, 2026-09-17
warning	newline-count	spell	689	cata	description_ua	blank line count differs from the English	verified before the migration, 2026-09-17
warning	newline-count	spell	689	mists	description_ua	blank line count differs from the English	verified before the migration, 2026-09-17
warning	newline-count	spell	691	cata	description_ua	blank line count differs from the English	verified before the migration, 2026-09-17
warning	newline-count	spell	691	mists	description_ua	blank line count differs from the English	verified before the migration, 2026-09-17
warning	newline-count	spell	697	cata	description_ua	blank line count differs from the English	verified before the migration, 2026-09-17
warning	newline-count	spell	697	mists	description_ua	blank line count differs from the English	verified before the migration, 2026-09-17
warning	newline-count	spell	712	cata	description_ua	blank line count differs from the English	verified before the migration, 2026-09-17
warning	newline-count	spell	712	mists	description_ua	blank line count differs from the English	verified before the migration, 2026-09-17
warning	newline-count	spell	713	cata	description_ua	blank line count differs from the English	verified before the migration, 2026-09-17
warning	newline-count	spell	713	mists	description_ua	blank line count differs from the English	verified before the migration, 2026-09-17
warning	newline-count	spell	755	mists	description_ua	blank line count differs from the English	verified before the migration, 2026-09-17
warning	newline-count	spell	845	wrath	description_ua	blank line count differs from the English	verified before the migration, 2026-09-17
warning	newline-count	spell	1079	cata	description_ua	blank line count differs from the English	verified before the migration, 2026-09-17
warning	newline-count	spell	1079	mists	description_ua	blank line count differs from the English	verified before the migration, 2026-09-17
warning	newline-count	spell	1490	mists	description_ua	blank line count differs from the English	verified before the migration, 2026-09-17
warning	newline-count	spell	1715	wrath	description_ua	blank line count differs from the English	verified before the migration, 2026-09-17
warning	newline-count	spell	2457	mists	description_ua	blank line count differs from the English	verified before the migration, 2026-09-17
warning	newline-count	spell	2645	wrath	aura_ua	blank line count differs from the English	verified before the migration, 2026-09-17
warning	newline-count	spell	2645	wrath	description_ua	blank line count differs from the English	verified before the migration, 2026-09-17
warning	newline-count	spell	3408	mists	description_ua	blank line count differs from the English	verified before the migration, 2026-09-17
warning	newline-count	spell	5176	cata	description_ua	blank line count differs from the English	verified before the migration, 2026-09-17
